Product_id,categories,sub_categories,Product Name,Price,Image
10838,Tvs,lgTV,139 cm (55 inches) 4K Ultra HD Smart OLED,89990.0,https://www.amazon.in/images/I/81H5mcFf2eL._AC_UY218_.jpg
10839,Tvs,lgTV,164 cm (65 inches) 4K Ultra HD Smart LED,71990.0,https://www.amazon.in/images/I/81xjXajZ3JL._AC_UY218_.jpg
10840,Tvs,lgTV,164 cm (65 inches) 4K Ultra HD Smart LED,65990.0,https://www.amazon.in/images/I/91OzzQSg47L._AC_UY218_.jpg
10841,Tvs,lgTV,Acer 109 cm (43 inches) Advanced I Series Full HD Smart LED Google,21999.0,https://www.amazon.in/images/I/517liP0ov8L._AC_UY218_.jpg
10842,Tvs,lgTV,Acer 139 cm (55 inches) V Series 4K Ultra HD Smart QLED Google,42999.0,https://www.amazon.in/images/I/61jlafY0nyL._AC_UY218_.jpg
10843,Mobiles,mi,11X Cosmic Black 6GB RAM 128GB ROM Storage 5G | SD 870 | DisplayMate A+ rated 120Hz E4 AMOLED | 48MP Sony sensor,29999.0,https://www.amazon.in/images/I/71VQXjN6R7S._AC_UY218_.jpg
10844,Mobiles,mi,"10i 5G (Midnight Black, 6GB RAM, 128GB Storage) - 108MP Quad Camera | Snapdragon 750G Processor",17960.0,https://www.amazon.in/images/I/71+KJpeI2rL._AC_UY218_.jpg
10845,Mobiles,mi,"Redmi 9i Sport (Metallic Blue, 64 GB) (4 GB RAM)",9490.0,https://www.amazon.in/images/I/51T3lL2EIeL._AC_UY218_.jpg
10846,Mobiles,mi,"Redmi 12C (Royal Blue, 4GB RAM, 64GB Storage) | High Performance Mediatek Helio G85 | Big 17cm(6.71) HD+ Display with 5000mAh(typ) Battery",8499.0,https://www.amazon.in/images/I/81itQPVn-GL._AC_UY218_.jpg
10847,Mobiles,mi,"Redmi Note 12 5G (Matte Black,8GB RAM, 256GB Storage)",20999.0,https://www.amazon.in/images/I/81ZZPvIWnYL._AC_UY218_.jpg
10848,Mobiles,mi,"Redmi Note 11T 5G (Matte Black, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers",17999.0,https://www.amazon.in/images/I/7155Pasn1aL._AC_UY218_.jpg
10849,Mobiles,mi,"Redmi 10 Power (Power Black, 8GB RAM, 128GB Storage)",12499.0,https://www.amazon.in/images/I/71BiCb7N5YL._AC_UY218_.jpg
10850,Mobiles,mi,"REDMI 9i Sport (Coral Green, 64 GB) (4 GB RAM)",9490.0,https://www.amazon.in/images/I/61kcGZD4CLL._AC_UY218_.jpg
10851,Mobiles,mi,"Redmi Note 9 Pro Max (Champagne Gold, 6GB RAM, 64GB Storage) - 64MP Quad Camera & Latest 8nm Snapdragon 720G & Alexa Hands-Free",15490.0,https://www.amazon.in/images/I/71usqWEJleL._AC_UY218_.jpg
10852,Mobiles,mi,"10i 5G (Atlantic Blue, 8GB RAM, 128GB Storage)- 108MP Quad Camera | Snapdragon 750G Processor",19950.0,https://www.amazon.in/images/I/71w4n2itCNL._AC_UY218_.jpg
10853,Mobiles,mi,"Redmi A2+ (Aqua Blue, 4GB RAM, 64GB Storage) | Upto 7GB RAM | Octa Core Processor | Fingerprint Scanner | 2 Years Warranty [Limited time Offer]",7999.0,https://www.amazon.in/images/I/815V9Wrq1-L._AC_UY218_.jpg
10854,Mobiles,mi,"Redmi 9A (Nature Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery",,https://www.amazon.in/images/I/71sxlhYhKWL._AC_UY218_.jpg
10855,Mobiles,mi,"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage) | 2.3GHz Mediatek Helio G35 Octa core Processor",9499.0,https://www.amazon.in/images/I/71A9Vo1BatL._AC_UY218_.jpg
10856,Mobiles,mi,"Redmi 12C (Matte Black, 4GB RAM, 64GB Storage) | High Performance Mediatek Helio G85 | Big 17cm(6.71) HD+ Display with 5000mAh(typ) Battery",8499.0,https://www.amazon.in/images/I/81guvfQzeVL._AC_UY218_.jpg
10857,Mobiles,mi,"Redmi 11 Prime (Flashy Black, 4GB RAM, 64GB Storage) | Prime Design | High Performance Helio G99 | 50 MP AI Triple Cam | 5000 mAh | 22.5W",8999.0,https://www.amazon.in/images/I/71BANx-zuWL._AC_UY218_.jpg
10858,Mobiles,mi,"Redmi 12C (Mint Green, 4GB RAM, 64GB Storage) | High Performance Mediatek Helio G85 | Big 17cm(6.71) HD+ Display with 5000mAh(typ) Battery",8499.0,https://www.amazon.in/images/I/81YEyQqHjPL._AC_UY218_.jpg
10859,Mobiles,mi,"Redmi Note 11 (Space Black, 4GB RAM, 64GB Storage)|90Hz FHD+ AMOLED Display | Qualcomm® Snapdragon™ 680-6nm | 33W Charger Included",13499.0,https://www.amazon.in/images/I/71yTvU9VgdL._AC_UY218_.jpg
10860,Mobiles,mi,"Redmi A2 (Sea Green, 2GB RAM, 32GB Storage) | Powerful Octa Core G36 Processor | Upto 7GB RAM | Large 16.5 cm HD+ Display with Massive 5000mAh Battery | 2 Years Warranty [Limited time Offer]",6499.0,https://www.amazon.in/images/I/81bh6SxXQ+L._AC_UY218_.jpg
10861,Mobiles,mi,"Redmi A2 (Classic Black, 2GB RAM, 32GB Storage) | Powerful Octa Core G36 Processor | Upto 7GB RAM | Large 16.5 cm HD+ Display with Massive 5000mAh Battery | 2 Years Warranty [Limited time Offer]",6499.0,https://www.amazon.in/images/I/810-BAwpF9L._AC_UY218_.jpg
10862,Mobiles,mi,"Redmi A2 (Aqua Blue, 2GB RAM, 32GB Storage) | Powerful Octa Core G36 Processor | Upto 7GB RAM | Large 16.5 cm HD+ Display with Massive 5000mAh Battery | 2 Years Warranty [Limited time Offer]",6499.0,https://www.amazon.in/images/I/81RR0TAz+5L._AC_UY218_.jpg
10863,Mobiles,mi,"Redmi 9A Sport (Carbon Black, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery",7499.0,https://www.amazon.in/images/I/81T4O-rEI+L._AC_UY218_.jpg
10864,Cameras,nikoncamera,Z50 Mirrorless,90499.0,https://www.amazon.in/images/I/614kzkELwmL._AC_UY218_.jpg
